task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	99/7e824a	1500226	output_documentation	COMPLETED	0	2021-04-14 15:58:24.650	1.9s	212ms	102.2%	12.9 MB	17.8 MB	2.2 MB	10 KB
1	2b/03b1a3	1500168	sdrf_parsing (1)	COMPLETED	0	2021-04-14 15:58:24.566	2.2s	763ms	247.0%	14 MB	18.8 MB	12.6 MB	8.5 KB
2	26/3832f3	1500164	get_software_versions	COMPLETED	0	2021-04-14 15:58:24.549	2.6s	1.5s	94.7%	38.5 MB	194.2 MB	15.3 MB	666.7 KB
8	fa/a61b27	1503715	raw_file_conversion (4)	COMPLETED	0	2021-04-14 16:02:15.034	4m 53s	4m 48s	139.0%	1.7 GB	4.4 GB	1.6 GB	684.8 MB
7	6f/cb12a1	1503276	raw_file_conversion (3)	COMPLETED	0	2021-04-14 16:02:10.115	5m 5s	5m 3s	137.6%	1.8 GB	4.4 GB	1.6 GB	718.9 MB
6	62/d6f638	1504128	raw_file_conversion (2)	COMPLETED	0	2021-04-14 16:02:16.430	5m 1s	4m 59s	138.1%	1.8 GB	4.8 GB	1.6 GB	715.9 MB
16	0f/8fbbd2	1506695	raw_file_conversion (12)	COMPLETED	0	2021-04-14 16:02:31.875	4m 54s	4m 49s	139.3%	1.8 GB	4.4 GB	1.6 GB	697.3 MB
17	2d/7ff073	1507337	raw_file_conversion (13)	COMPLETED	0	2021-04-14 16:02:37.891	4m 51s	4m 50s	138.0%	1.8 GB	4.4 GB	1.6 GB	690.7 MB
13	9f/346345	1509560	raw_file_conversion (9)	COMPLETED	0	2021-04-14 16:02:48.776	5m 2s	5m	138.2%	1.7 GB	4.3 GB	1.6 GB	724.6 MB
5	de/b57b23	1537235	raw_file_conversion (1)	COMPLETED	0	2021-04-14 16:07:07.874	4m 50s	4m 46s	140.1%	1.8 GB	4.5 GB	1.6 GB	715.4 MB
11	e6/781c98	1539113	raw_file_conversion (7)	COMPLETED	0	2021-04-14 16:07:17.574	4m 42s	4m 41s	142.0%	1.8 GB	4.4 GB	1.6 GB	722.2 MB
12	71/e2621f	1538262	raw_file_conversion (8)	COMPLETED	0	2021-04-14 16:07:14.891	4m 47s	4m 45s	140.6%	1.8 GB	4.4 GB	1.6 GB	723.5 MB
14	2f/1f245a	1542366	raw_file_conversion (10)	COMPLETED	0	2021-04-14 16:07:29.301	4m 37s	4m 35s	143.5%	1.8 GB	4.5 GB	1.6 GB	701.1 MB
20	4a/b627c3	1541250	raw_file_conversion (16)	COMPLETED	0	2021-04-14 16:07:25.829	4m 43s	4m 42s	141.9%	1.8 GB	4.4 GB	1.6 GB	731.5 MB
9	58/5b5e3a	1545837	raw_file_conversion (5)	COMPLETED	0	2021-04-14 16:07:50.492	4m 35s	4m 34s	142.3%	1.8 GB	4.6 GB	1.6 GB	691.1 MB
18	ec/91150d	1572136	raw_file_conversion (14)	COMPLETED	0	2021-04-14 16:11:58.066	4m 41s	4m 39s	139.5%	1.8 GB	4.4 GB	1.6 GB	690 MB
19	9e/a94dd9	1572843	raw_file_conversion (15)	COMPLETED	0	2021-04-14 16:11:59.934	4m 43s	4m 42s	139.9%	1.8 GB	4.5 GB	1.6 GB	696.4 MB
10	ab/2ab746	1573428	raw_file_conversion (6)	COMPLETED	0	2021-04-14 16:12:02.274	4m 42s	4m 39s	140.6%	1.8 GB	4.5 GB	1.6 GB	693.8 MB
15	49/fb8fa7	1574621	raw_file_conversion (11)	COMPLETED	0	2021-04-14 16:12:05.957	4m 40s	4m 37s	141.6%	1.8 GB	4.4 GB	1.6 GB	699.8 MB
22	b9/842979	1575582	raw_file_conversion (18)	COMPLETED	0	2021-04-14 16:12:08.918	4m 48s	4m 46s	141.4%	1.8 GB	4.5 GB	1.6 GB	735.1 MB
21	31/593b0f	1579361	raw_file_conversion (17)	COMPLETED	0	2021-04-14 16:12:25.727	4m 43s	4m 42s	142.2%	1.8 GB	4.4 GB	1.6 GB	731.8 MB
31	76/525e77	1607372	raw_file_conversion (27)	COMPLETED	0	2021-04-14 16:16:43.784	4m 36s	4m 32s	142.4%	1.7 GB	4.5 GB	1.6 GB	680.7 MB
26	48/bed789	1606254	raw_file_conversion (22)	COMPLETED	0	2021-04-14 16:16:38.626	4m 47s	4m 46s	139.8%	1.8 GB	4.5 GB	1.7 GB	700.2 MB
25	28/dc32ea	1608020	raw_file_conversion (21)	COMPLETED	0	2021-04-14 16:16:45.864	4m 43s	4m 40s	141.4%	1.8 GB	4.4 GB	1.6 GB	702.8 MB
28	a1/961cb9	1607267	raw_file_conversion (24)	COMPLETED	0	2021-04-14 16:16:43.196	4m 49s	4m 48s	140.1%	1.8 GB	4.7 GB	1.7 GB	706.4 MB
30	ef/8cf340	1613557	raw_file_conversion (26)	COMPLETED	0	2021-04-14 16:17:08.807	4m 31s	4m 29s	143.1%	1.7 GB	5 GB	1.6 GB	675.2 MB
